class,age,expID,sessionID,filename,valid
bear,6,cdmrunv4,1539987007263.png,bear_sketch_age6_cdm_run_v41539987007263.png,1
bear,6,cdmrunv4,1540070771431.png,bear_sketch_age6_cdm_run_v41540070771431.png,1
bear,6,cdmrunv4,1541195738146.png,bear_sketch_age6_cdm_run_v41541195738146.png,1
bear,6,cdmrunv4,1541266184035.png,bear_sketch_age6_cdm_run_v41541266184035.png,1
bear,6,cdmrunv4,1541277360074.png,bear_sketch_age6_cdm_run_v41541277360074.png,1
bear,6,cdmrunv4,1541278091520.png,bear_sketch_age6_cdm_run_v41541278091520.png,1
bear,6,cdmrunv4,1541280811876.png,bear_sketch_age6_cdm_run_v41541280811876.png,1
bear,6,cdmrunv4,1541282871578.png,bear_sketch_age6_cdm_run_v41541282871578.png,1
bike,2,cdmrunv3,1530385056869.png,bike_sketch_age2_cdm_run_v31530385056869.png,1
bike,2,cdmrunv3,1530473790141.png,bike_sketch_age2_cdm_run_v31530473790141.png,1
bike,2,cdmrunv3,1530480824568.png,bike_sketch_age2_cdm_run_v31530480824568.png,1
bike,3,cdmrunv3,1528148156599.png,bike_sketch_age3_cdm_run_v31528148156599.png,1
bike,3,cdmrunv3,1528225564149.png,bike_sketch_age3_cdm_run_v31528225564149.png,1
bike,3,cdmrunv3,1528227893962.png,bike_sketch_age3_cdm_run_v31528227893962.png,1
bike,3,cdmrunv3,1530728861215.png,bike_sketch_age3_cdm_run_v31530728861215.png,1
bike,4,cdmrunv3,1530730132348.png,bike_sketch_age4_cdm_run_v31530730132348.png,1
bike,4,cdmrunv3,1530730808241.png,bike_sketch_age4_cdm_run_v31530730808241.png,1
bike,4,cdmrunv3,1532196800622.png,bike_sketch_age4_cdm_run_v31532196800622.png,1
bike,5,cdmrunv3,1527979692326.png,bike_sketch_age5_cdm_run_v31527979692326.png,1
bike,5,cdmrunv3,1527979799077.png,bike_sketch_age5_cdm_run_v31527979799077.png,1
bike,5,cdmrunv3,1527980999104.png,bike_sketch_age5_cdm_run_v31527980999104.png,1
bike,5,cdmrunv3,1527981599050.png,bike_sketch_age5_cdm_run_v31527981599050.png,1
bike,5,cdmrunv3,1530389142347.png,bike_sketch_age5_cdm_run_v31530389142347.png,1
bike,5,cdmrunv3,1530478097123.png,bike_sketch_age5_cdm_run_v31530478097123.png,1
bike,5,cdmrunv3,1530485447745.png,bike_sketch_age5_cdm_run_v31530485447745.png,1
bike,5,cdmrunv3,1530486011120.png,bike_sketch_age5_cdm_run_v31530486011120.png,1
bike,5,cdmrunv3,1530644391081.png,bike_sketch_age5_cdm_run_v31530644391081.png,1
bike,6,cdmrunv3,1531853489687.png,bike_sketch_age6_cdm_run_v31531853489687.png,1
bike,6,cdmrunv3,1532043949200.png,bike_sketch_age6_cdm_run_v31532043949200.png,1
bike,6,cdmrunv3,1532112624073.png,bike_sketch_age6_cdm_run_v31532112624073.png,1
bike,7,cdmrunv3,1531952793335.png,bike_sketch_age7_cdm_run_v31531952793335.png,1
bike,7,cdmrunv3,1531954185970.png,bike_sketch_age7_cdm_run_v31531954185970.png,1
bike,7,cdmrunv3,1532034912264.png,bike_sketch_age7_cdm_run_v31532034912264.png,1
bike,7,cdmrunv3,1532115662128.png,bike_sketch_age7_cdm_run_v31532115662128.png,1
